f2-0111	measure	2	1	4	1	1	two	normal
f2-0112	measure	2	1	4	1	1	three	normal
f2-0113	measure	2	1	4	1	1	original	normal
f2-0114	measure	2	1	4	0	0	two	normal
f2-0115	measure	2	1	4	0	0	original	normal
f2-0116	measure	2	1	4	0	0	three	normal
f2-0117	measure	2	1	4	0	4	three	normal
f2-0118	measure	2	1	4	0	4	two	normal
f2-0119	measure	2	1	4	0	4	original	normal
f2-0120	measure	2	1	4	0	1	three	normal
f2-0121	measure	2	1	4	0	1	original	normal
f2-0122	measure	2	1	4	0	1	two	normal
f2-0123	measure	2	1	4	2	2	original	normal
f2-0124	measure	2	1	4	2	2	three	normal
f2-0125	measure	2	1	4	2	2	two	normal
f2-0126	measure	2	1	4	1	5	two	normal
f2-0127	measure	2	1	4	1	5	three	normal
f2-0128	measure	2	1	4	1	5	original	normal
f2-0129	measure	2	1	4	1	0	three	normal
f2-0130	measure	2	1	4	1	0	original	normal
f2-0131	measure	2	1	4	1	0	two	normal
f2-0132	measure	2	2	4	2	3	two	normal
f2-0133	measure	2	2	4	2	3	original	normal
f2-0134	measure	2	2	4	2	3	three	normal
f2-0135	measure	2	2	4	1	0	original	normal
f2-0136	measure	2	2	4	1	0	two	normal
f2-0137	measure	2	2	4	1	0	three	normal
f2-0138	measure	2	2	4	0	1	three	normal
f2-0139	measure	2	2	4	0	1	two	normal
f2-0140	measure	2	2	4	0	1	original	normal
f2-0141	measure	2	2	4	2	6	original	normal
f2-0142	measure	2	2	4	2	6	two	normal
f2-0143	measure	2	2	4	2	6	three	normal
f2-0144	measure	2	2	4	0	4	two	normal
f2-0145	measure	2	2	4	0	4	original	normal
f2-0146	measure	2	2	4	0	4	three	normal
f2-0147	measure	2	2	4	0	0	two	normal
f2-0148	measure	2	2	4	0	0	three	normal
f2-0149	measure	2	2	4	0	0	original	normal
f2-0150	measure	2	2	4	1	5	two	normal
f2-0151	measure	2	2	4	1	5	three	normal
f2-0152	measure	2	2	4	1	5	original	normal
f2-0153	measure	2	2	4	2	0	original	normal
f2-0154	measure	2	2	4	2	0	two	normal
f2-0155	measure	2	2	4	2	0	three	normal
f2-0156	measure	2	2	4	1	2	two	normal
f2-0157	measure	2	2	4	1	2	original	normal
f2-0158	measure	2	2	4	1	2	three	normal
f2-0159	measure	2	2	4	2	2	original	normal
f2-0160	measure	2	2	4	2	2	two	normal
f2-0161	measure	2	2	4	2	2	three	normal
f2-0162	measure	2	2	4	1	1	two	normal
f2-0163	measure	2	2	4	1	1	three	normal
f2-0164	measure	2	2	4	1	1	original	normal
f2-0165	measure	2	3	4	0	1	original	normal
f2-0166	measure	2	3	4	0	1	two	normal
f2-0167	measure	2	3	4	0	1	three	normal
f2-0168	measure	2	3	4	2	3	original	normal
f2-0169	measure	2	3	4	2	3	three	normal
f2-0170	measure	2	3	4	2	3	two	normal
f2-0171	measure	2	3	4	1	5	original	normal
f2-0172	measure	2	3	4	1	5	three	normal
f2-0173	measure	2	3	4	1	5	two	normal
f2-0174	measure	2	3	4	2	0	three	normal
f2-0175	measure	2	3	4	2	0	original	normal
f2-0176	measure	2	3	4	2	0	two	normal
f2-0177	measure	2	3	4	0	0	original	normal
f2-0178	measure	2	3	4	0	0	three	normal
f2-0179	measure	2	3	4	0	0	two	normal
f2-0180	measure	2	3	4	2	6	two	normal
f2-0181	measure	2	3	4	2	6	three	normal
f2-0182	measure	2	3	4	2	6	original	normal
f2-0183	measure	2	3	4	1	0	original	normal
