universal01-00082	multi1_2	2	0	0	validate	0	colliding	allocated	0
universal01-00083	multi1_2	2	0	0	validate	0	colliding	allocated	1
universal01-00084	multi1_2	2	0	0	replace	0	colliding	canonical	0
universal01-00085	multi1_2	2	0	0	replace	0	colliding	canonical	1
universal01-00086	multi1_2	2	0	0	validate	0	colliding	canonical	0
universal01-00087	multi1_2	2	0	0	validate	0	colliding	canonical	1
universal01-00088	multi1_2	2	0	0	replace	1	distinct	allocated	0
universal01-00089	multi1_2	2	0	0	replace	1	distinct	allocated	10
universal01-00090	multi1_2	2	0	0	replace	1	distinct	allocated	11
universal01-00091	multi1_2	2	0	0	validate	1	distinct	allocated	0
universal01-00092	multi1_2	2	0	0	validate	1	distinct	allocated	10
universal01-00093	multi1_2	2	0	0	validate	1	distinct	allocated	11
universal01-00094	multi1_2	2	0	0	replace	1	distinct	canonical	0
universal01-00095	multi1_2	2	0	0	replace	1	distinct	canonical	10
universal01-00096	multi1_2	2	0	0	replace	1	distinct	canonical	11
universal01-00097	multi1_2	2	0	0	validate	1	distinct	canonical	0
universal01-00098	multi1_2	2	0	0	validate	1	distinct	canonical	10
universal01-00099	multi1_2	2	0	0	validate	1	distinct	canonical	11
universal01-00100	multi1_2	2	0	0	replace	1	colliding	allocated	0
universal01-00101	multi1_2	2	0	0	replace	1	colliding	allocated	10
universal01-00102	multi1_2	2	0	0	replace	1	colliding	allocated	11
universal01-00103	multi1_2	2	0	0	validate	1	colliding	allocated	0
universal01-00104	multi1_2	2	0	0	validate	1	colliding	allocated	10
universal01-00105	multi1_2	2	0	0	validate	1	colliding	allocated	11
universal01-00106	multi1_2	2	0	0	replace	1	colliding	canonical	0
universal01-00107	multi1_2	2	0	0	replace	1	colliding	canonical	10
universal01-00108	multi1_2	2	0	0	replace	1	colliding	canonical	11
universal01-00109	multi1_2	2	0	0	validate	1	colliding	canonical	0
universal01-00110	multi1_2	2	0	0	validate	1	colliding	canonical	10
universal01-00111	multi1_2	2	0	0	validate	1	colliding	canonical	11
universal01-00112	multi1_2	2	0	0	replace	2	distinct	allocated	0
universal01-00113	multi1_2	2	0	0	replace	2	distinct	allocated	10
universal01-00114	multi1_2	2	0	0	replace	2	distinct	allocated	110
universal01-00115	multi1_2	2	0	0	replace	2	distinct	allocated	111
universal01-00116	multi1_2	2	0	0	validate	2	distinct	allocated	0
universal01-00117	multi1_2	2	0	0	validate	2	distinct	allocated	10
universal01-00118	multi1_2	2	0	0	validate	2	distinct	allocated	110
universal01-00119	multi1_2	2	0	0	validate	2	distinct	allocated	111
universal01-00120	multi1_2	2	0	0	replace	2	distinct	canonical	0
universal01-00121	multi1_2	2	0	0	replace	2	distinct	canonical	10
universal01-00122	multi1_2	2	0	0	replace	2	distinct	canonical	110
universal01-00123	multi1_2	2	0	0	replace	2	distinct	canonical	111
universal01-00124	multi1_2	2	0	0	validate	2	distinct	canonical	0
universal01-00125	multi1_2	2	0	0	validate	2	distinct	canonical	10
universal01-00126	multi1_2	2	0	0	validate	2	distinct	canonical	110
universal01-00127	multi1_2	2	0	0	validate	2	distinct	canonical	111
universal01-00128	multi1_2	2	0	0	replace	2	colliding	allocated	0
universal01-00129	multi1_2	2	0	0	replace	2	colliding	allocated	10
universal01-00130	multi1_2	2	0	0	replace	2	colliding	allocated	110
universal01-00131	multi1_2	2	0	0	replace	2	colliding	allocated	111
universal01-00132	multi1_2	2	0	0	validate	2	colliding	allocated	0
universal01-00133	multi1_2	2	0	0	validate	2	colliding	allocated	10
universal01-00134	multi1_2	2	0	0	validate	2	colliding	allocated	110
universal01-00135	multi1_2	2	0	0	validate	2	colliding	allocated	111
universal01-00136	multi1_2	2	0	0	replace	2	colliding	canonical	0
universal01-00137	multi1_2	2	0	0	replace	2	colliding	canonical	10
universal01-00138	multi1_2	2	0	0	replace	2	colliding	canonical	110
universal01-00139	multi1_2	2	0	0	replace	2	colliding	canonical	111
universal01-00140	multi1_2	2	0	0	validate	2	colliding	canonical	0
universal01-00141	multi1_2	2	0	0	validate	2	colliding	canonical	10
universal01-00142	multi1_2	2	0	0	validate	2	colliding	canonical	110
universal01-00143	multi1_2	2	0	0	validate	2	colliding	canonical	111
universal01-00144	multi1_4	4	0	0	replace	0	distinct	allocated	0
universal01-00145	multi1_4	4	0	0	replace	0	distinct	allocated	1
universal01-00146	multi1_4	4	0	0	validate	0	distinct	allocated	0
universal01-00147	multi1_4	4	0	0	validate	0	distinct	allocated	1
universal01-00148	multi1_4	4	0	0	replace	0	distinct	canonical	0
universal01-00149	multi1_4	4	0	0	replace	0	distinct	canonical	1
universal01-00150	multi1_4	4	0	0	validate	0	distinct	canonical	0
universal01-00151	multi1_4	4	0	0	validate	0	distinct	canonical	1
universal01-00152	multi1_4	4	0	0	replace	0	colliding	allocated	0
universal01-00153	multi1_4	4	0	0	replace	0	colliding	allocated	1
universal01-00154	multi1_4	4	0	0	validate	0	colliding	allocated	0
universal01-00155	multi1_4	4	0	0	validate	0	colliding	allocated	1
universal01-00156	multi1_4	4	0	0	replace	0	colliding	canonical	0
universal01-00157	multi1_4	4	0	0	replace	0	colliding	canonical	1
universal01-00158	multi1_4	4	0	0	validate	0	colliding	canonical	0
universal01-00159	multi1_4	4	0	0	validate	0	colliding	canonical	1
universal01-00160	multi1_4	4	0	0	replace	1	distinct	allocated	0
universal01-00161	multi1_4	4	0	0	replace	1	distinct	allocated	10
universal01-00162	multi1_4	4	0	0	replace	1	distinct	allocated	11
universal01-00163	multi1_4	4	0	0	validate	1	distinct	allocated	0
universal01-00164	multi1_4	4	0	0	validate	1	distinct	allocated	10
universal01-00165	multi1_4	4	0	0	validate	1	distinct	allocated	11
universal01-00166	multi1_4	4	0	0	replace	1	distinct	canonical	0
universal01-00167	multi1_4	4	0	0	replace	1	distinct	canonical	10
universal01-00168	multi1_4	4	0	0	replace	1	distinct	canonical	11
universal01-00169	multi1_4	4	0	0	validate	1	distinct	canonical	0
universal01-00170	multi1_4	4	0	0	validate	1	distinct	canonical	10
universal01-00171	multi1_4	4	0	0	validate	1	distinct	canonical	11
universal01-00172	multi1_4	4	0	0	replace	1	colliding	allocated	0
universal01-00173	multi1_4	4	0	0	replace	1	colliding	allocated	10
universal01-00174	multi1_4	4	0	0	replace	1	colliding	allocated	11
universal01-00175	multi1_4	4	0	0	validate	1	colliding	allocated	0
universal01-00176	multi1_4	4	0	0	validate	1	colliding	allocated	10
universal01-00177	multi1_4	4	0	0	validate	1	colliding	allocated	11
universal01-00178	multi1_4	4	0	0	replace	1	colliding	canonical	0
universal01-00179	multi1_4	4	0	0	replace	1	colliding	canonical	10
universal01-00180	multi1_4	4	0	0	replace	1	colliding	canonical	11
universal01-00181	multi1_4	4	0	0	validate	1	colliding	canonical	0
universal01-00182	multi1_4	4	0	0	validate	1	colliding	canonical	10
universal01-00183	multi1_4	4	0	0	validate	1	colliding	canonical	11
universal01-00184	multi1_4	4	0	0	replace	2	distinct	allocated	0
universal01-00185	multi1_4	4	0	0	replace	2	distinct	allocated	10
universal01-00186	multi1_4	4	0	0	replace	2	distinct	allocated	110
universal01-00187	multi1_4	4	0	0	replace	2	distinct	allocated	111
universal01-00188	multi1_4	4	0	0	validate	2	distinct	allocated	0
universal01-00189	multi1_4	4	0	0	validate	2	distinct	allocated	10
universal01-00190	multi1_4	4	0	0	validate	2	distinct	allocated	110
universal01-00191	multi1_4	4	0	0	validate	2	distinct	allocated	111
universal01-00192	multi1_4	4	0	0	replace	2	distinct	canonical	0
universal01-00193	multi1_4	4	0	0	replace	2	distinct	canonical	10
universal01-00194	multi1_4	4	0	0	replace	2	distinct	canonical	110
universal01-00195	multi1_4	4	0	0	replace	2	distinct	canonical	111
universal01-00196	multi1_4	4	0	0	validate	2	distinct	canonical	0
