source,job_id,model_id,k,method,status,expected_states,observed_states,expected_queries,observed_queries,certificate_states
legacy-direct-full,independent_k02__base__rep01__direct_full,independent_k02,2,direct_full,SUCCESS,4,4,7,7,
legacy-direct-full,independent_k20__base__rep01__direct_full,independent_k20,20,direct_full,TIMEOUT,1048576,,11534335,,
legacy-direct-full,independent_k10__base__rep01__direct_full,independent_k10,10,direct_full,SUCCESS,1024,1024,6143,6143,
legacy-direct-full,independent_k08__base__rep01__direct_full,independent_k08,8,direct_full,SUCCESS,256,256,1279,1279,
legacy-direct-full,independent_k16__base__rep01__direct_full,independent_k16,16,direct_full,SUCCESS,65536,65536,589823,589823,
legacy-direct-full,independent_k12__base__rep01__direct_full,independent_k12,12,direct_full,SUCCESS,4096,4096,28671,28671,
legacy-direct-full,independent_k04__base__rep01__direct_full,independent_k04,4,direct_full,SUCCESS,16,16,47,47,
legacy-direct-full,independent_k12__base__rep02__direct_full,independent_k12,12,direct_full,SUCCESS,4096,4096,28671,28671,
legacy-direct-full,independent_k04__base__rep02__direct_full,independent_k04,4,direct_full,SUCCESS,16,16,47,47,
legacy-direct-full,independent_k20__base__rep02__direct_full,independent_k20,20,direct_full,TIMEOUT,1048576,,11534335,,
legacy-direct-full,independent_k06__base__rep02__direct_full,independent_k06,6,direct_full,SUCCESS,64,64,255,255,
legacy-direct-full,independent_k16__base__rep02__direct_full,independent_k16,16,direct_full,SUCCESS,65536,65536,589823,589823,
legacy-direct-full,independent_k02__base__rep02__direct_full,independent_k02,2,direct_full,SUCCESS,4,4,7,7,
legacy-direct-full,independent_k08__base__rep02__direct_full,independent_k08,8,direct_full,SUCCESS,256,256,1279,1279,
legacy-direct-full,independent_k10__base__rep02__direct_full,independent_k10,10,direct_full,SUCCESS,1024,1024,6143,6143,
legacy-direct-full,independent_k10__base__rep03__direct_full,independent_k10,10,direct_full,SUCCESS,1024,1024,6143,6143,
legacy-direct-full,independent_k08__base__rep03__direct_full,independent_k08,8,direct_full,SUCCESS,256,256,1279,1279,
legacy-direct-full,independent_k20__base__rep03__direct_full,independent_k20,20,direct_full,TIMEOUT,1048576,,11534335,,
legacy-direct-full,independent_k04__base__rep03__direct_full,independent_k04,4,direct_full,SUCCESS,16,16,47,47,
legacy-direct-full,independent_k16__base__rep03__direct_full,independent_k16,16,direct_full,SUCCESS,65536,65536,589823,589823,
legacy-direct-full,independent_k12__base__rep03__direct_full,independent_k12,12,direct_full,SUCCESS,4096,4096,28671,28671,
legacy-direct-full,independent_k02__base__rep03__direct_full,independent_k02,2,direct_full,SUCCESS,4,4,7,7,
legacy-direct-full,independent_k06__base__rep03__direct_full,independent_k06,6,direct_full,SUCCESS,64,64,255,255,
legacy-direct-full,independent_k12__base__rep04__direct_full,independent_k12,12,direct_full,SUCCESS,4096,4096,28671,28671,
legacy-direct-full,independent_k20__base__rep04__direct_full,independent_k20,20,direct_full,TIMEOUT,1048576,,11534335,,
legacy-direct-full,independent_k04__base__rep04__direct_full,independent_k04,4,direct_full,SUCCESS,16,16,47,47,
legacy-direct-full,independent_k08__base__rep04__direct_full,independent_k08,8,direct_full,SUCCESS,256,256,1279,1279,
legacy-direct-full,independent_k06__base__rep04__direct_full,independent_k06,6,direct_full,SUCCESS,64,64,255,255,
legacy-direct-full,independent_k02__base__rep04__direct_full,independent_k02,2,direct_full,SUCCESS,4,4,7,7,
legacy-direct-full,independent_k10__base__rep04__direct_full,independent_k10,10,direct_full,SUCCESS,1024,1024,6143,6143,
legacy-direct-full,independent_k16__base__rep04__direct_full,independent_k16,16,direct_full,SUCCESS,65536,65536,589823,589823,
legacy-direct-full,independent_k02__base__rep05__direct_full,independent_k02,2,direct_full,SUCCESS,4,4,7,7,
legacy-direct-full,independent_k20__base__rep05__direct_full,independent_k20,20,direct_full,TIMEOUT,1048576,,11534335,,
legacy-direct-full,independent_k10__base__rep05__direct_full,independent_k10,10,direct_full,SUCCESS,1024,1024,6143,6143,
legacy-direct-full,independent_k08__base__rep05__direct_full,independent_k08,8,direct_full,SUCCESS,256,256,1279,1279,
legacy-direct-full,independent_k04__base__rep05__direct_full,independent_k04,4,direct_full,SUCCESS,16,16,47,47,
legacy-direct-full,independent_k06__base__rep05__direct_full,independent_k06,6,direct_full,SUCCESS,64,64,255,255,
legacy-direct-full,independent_k12__base__rep05__direct_full,independent_k12,12,direct_full,SUCCESS,4096,4096,28671,28671,
legacy-direct-full,independent_k16__base__rep05__direct_full,independent_k16,16,direct_full,SUCCESS,65536,65536,589823,589823,
