config,model_count,target_count,method_count,stage1_jobs,maximum_additional_jobs,maximum_total_jobs,heap,timeout_seconds,stage1_cap_hours,additional_cap_hours,total_cap_hours,parallel_trials,measurement_repetitions
pilot,3,1,5,15,60,75,4g,60,0.25,1.0,1.25,1,5
rq3,9,3,5,135,540,675,64g,1200,45.0,180.0,225.0,1,5
rq4_controlled,33,1,4,132,0,132,64g,1200,44.0,0.0,44.0,1,1
rq4_hub,90,1,4,360,1440,1800,64g,1200,120.0,480.0,600.0,1,5
rq4_independent,19,1,4,76,304,380,64g,1200,25.333333333333332,101.33333333333333,126.66666666666667,1,5
rq4_travel,48,1,4,192,768,960,64g,1200,64.0,256.0,320.0,1,5
